Nom de ville,Adresse mail mairie,Département
ACQUEVILLE,mairie.acqueville@wanadoo.fr,MANCHE
AGNEAUX,mairie.agneaux@wanadoo.fr,MANCHE
AGON COUTAINVILLE,mairie.agoncoutainville@fr.oleane.com,MANCHE
AIREL,mairie.airel@wanadoo.fr,MANCHE
AMFREVILLE,amfreville.mairie@mediamanche.com,MANCHE
AMIGNY,amigny.mairie@wanadoo.fr,MANCHE
ANCTEVILLE,mairie.ancteville@wanadoo.fr,MANCHE
ANCTOVILLE SUR BOSCQ,mairie.anctovillesurboscq@wanadoo.fr,MANCHE
ANGEY,mairie.angey@wanadoo.fr,MANCHE
ANGOVILLE AU PLAIN,,MANCHE
ANGOVILLE SUR AY,mairie.angovillesuray@wanadoo.fr,MANCHE
ANNEVILLE EN SAIRE,anneville-en-saire@wanadoo.fr,MANCHE
ANNEVILLE SUR MER,anneville.mairie@wanadoo.fr,MANCHE
ANNOVILLE,mairie.annoville@wanadoo.fr,MANCHE
APPEVILLE,mairie.appeville@wanadoo.fr,MANCHE
ARGOUGES,mairie-argouges@wanadoo.fr,MANCHE
AUCEY LA PLAINE,mairie.aucey@wanadoo.fr,MANCHE
AUDERVILLE,mairie.auderville@sfr.fr,MANCHE
AUDOUVILLE LA HUBERT,mairie.audouville-la-hubert@aliceadsl.fr,MANCHE
AUMEVILLE LESTRE,,MANCHE
AUVERS,auvers.mairie@wanadoo.fr,MANCHE
AUXAIS,auxais.mairie@wanadoo.fr,MANCHE
AVRANCHES,mairie@avranches.fr,MANCHE
AZEVILLE,,MANCHE
BACILLY,mairie.bacilly@wanadoo.fr,MANCHE
BARENTON,mairie.barenton@wanadoo.fr,MANCHE
BARFLEUR,barfleur.VV@wanadoo.fr,MANCHE
BARNEVILLE CARTERET,contact@mairie-barneville-carteret.fr,MANCHE
BAUBIGNY,mairie.baubigny50@orange.fr,MANCHE
BAUDRE,mairie-baudre@wanadoo.fr,MANCHE
BAUDREVILLE,mairie.baudreville@wanadoo.fr,MANCHE
BAUPTE,mairie.baupte@wanadoo.fr,MANCHE
BEAUCHAMPS,communedebeauchamps@orange.fr,MANCHE
BEAUCOUDRAY,com.beaucoudray@wanadoo.fr,MANCHE
BEAUFICEL,mairie@beauficel.org,MANCHE
BEAUMONT HAGUE,mairiebeaumonthague@wanadoo.fr,MANCHE
BEAUVOIR,beauvoir.mairie@wanadoo.fr,MANCHE
BELLEFONTAINE,mairie.bellefontaine@wanadoo.fr,MANCHE
BELVAL,mairie.belval@wanadoo.fr,MANCHE
BENOITVILLE,mairie.benoistville@wanadoo.fr,MANCHE
BERIGNY,berigny@wanadoo.fr,MANCHE
BESLON,mairie.beslon@wanadoo.fr,MANCHE
BESNEVILLE,mairie.besneville@orange.fr,MANCHE
BEUVRIGNY,mairie.beuvrigny@wanadoo.fr,MANCHE
BEUZEVILLE AU PLAIN,,MANCHE
BEUZEVILLE LA BASTILLE,beuzeville-la-bastille@wanadoo.fr,MANCHE
BIEVILLE,,MANCHE
BINIVILLE,mairie.biniville@orange.fr,MANCHE
BION,mairie.bion702@orange.fr,MANCHE
BIVILLE,mairie.biville@wanadoo.fr,MANCHE
BLAINVILLE SUR MER,mairie.blainvillesurmer@wanadoo.fr,MANCHE
BLOSVILLE,mairie.blosville@hotmail.fr,MANCHE
BOISROGER,mairie.boisroger@wanadoo.fr,MANCHE
BOISYVON,,MANCHE
BOLLEVILLE,mairie.bolleville@wanadoo.fr,MANCHE
BOURGUENOLLES,mairie-bourguenolles@wanadoo.fr,MANCHE
BOUTTEVILLE,mairie.boutteville@orange.fr,MANCHE
BRAFFAIS,mairie.braffais@wanadoo.fr,MANCHE
BRAINVILLE,,MANCHE
BRANVILLE HAGUE,mairie@branville-hague.fr,MANCHE
BRECEY,mairie@brecey.fr,MANCHE
BRECTOUVILLE,mairie.brectouville@wanadoo.fr,MANCHE
BREHAL,mairie@ville-brehal.fr,MANCHE
BRETTEVILLE EN SAIRE,mairie.brettevilleensaire@orange.fr,MANCHE
BRETTEVILLE SUR AY,mairiedebrettevillesuray@wanadoo.fr,MANCHE
BREUVILLE,mairiebreuville@wanadoo.fr,MANCHE
BREVANDS,mairie.brevands@wanadoo.fr,MANCHE
